h [cm],circumference [cm],area 
0,24.5,47.7601846
1,24.5,47.7601846
2,24.5,47.7601846
3,24.4,47.37110121
4,24.4,47.37110121
5,24.4,47.37110121
6,24.4,47.37110121
7,24.4,47.37110121
8,24.4,47.37110121
9,24.4,47.37110121
10,24.4,47.37110121
11,24.4,47.37110121
12,24.4,47.37110121
13,24.6,48.15085933
14,24.5,47.7601846
15,24.1,46.21339911
16,23.6,44.31572247
17,23.1,42.45782941
18,22.4,39.92361553
19,19.2,29.3316359
20,17.6,24.64672183
21,16.2,20.88160407
22,14.4,16.49904519
23,12,11.45767027
24,11.4,10.34054742
25,9.5,7.18093571
26,8.8,6.161680458
27,9,6.444939529
28,9,6.444939529
