Time [s], liquid_level_reading
0,512
0,512
0,512
0,512
0.06,512
0.14,512
0.22,512
0.31,512
0.39,512
0.47,512
0.56,511
0.64,512
0.72,511
0.81,512
0.89,512
0.97,512
1.06,512
1.14,512
1.22,512
1.31,512
1.39,512
1.47,512
1.56,511
1.64,512
1.73,512
1.81,512
1.89,512
1.98,512
2.06,512
2.14,512
2.23,512
2.31,512
2.39,512
2.48,512
2.56,512
2.64,512
2.72,512
2.81,512
2.89,513
2.97,511
3.06,512
3.14,511
3.23,515
3.31,515
3.39,516
3.48,515
3.56,513
3.64,513
3.73,515
3.81,517
3.89,517
3.98,516
4.06,516
4.14,518
4.23,518
4.31,522
4.39,522
4.48,528
4.56,528
4.64,530
4.73,530
4.81,532
4.89,533
4.98,533
5.06,534
5.14,535
5.23,541
5.31,542
5.39,543
5.48,546
5.56,546
5.64,548
5.73,552
5.81,555
5.89,556
5.98,561
6.06,564
6.14,563
6.23,568
6.31,574
6.39,574
6.48,574
6.56,574
6.64,575
6.73,585
6.81,586
6.89,591
6.98,594
7.06,595
7.14,599
7.23,602
7.31,603
7.39,609
7.48,610
7.56,615
7.64,619
7.73,622
7.81,625
7.89,629
7.98,634
8.06,636
8.14,640
8.23,642
8.31,645
8.39,647
8.48,649
8.56,648
8.64,650
8.73,656
8.81,660
8.89,661
8.98,662
9.06,661
9.14,659
9.23,665
9.31,667
9.39,669
9.48,670
9.56,674
9.64,680
9.73,685
9.81,687
9.89,687
9.98,691
10.06,698
10.15,699
10.24,700
10.34,704
10.43,708
10.52,715
10.61,726
10.7,729
10.79,730
10.89,738
10.98,739
11.07,734
11.16,736
11.25,735
11.34,736
11.44,739
11.53,741
11.62,742
11.71,742
11.8,742
11.89,745
11.98,748
12.08,756
12.17,762
12.26,760
12.35,774
12.44,770
12.53,774
12.63,773
12.72,766
12.81,767
12.9,768
12.99,774
13.09,775
13.18,774
13.27,770
13.36,771
13.45,771
13.54,772
13.64,774
13.73,775
13.82,775
13.91,776
14,777
14.09,777
14.19,777
14.28,778
14.37,778
14.46,778
14.55,777
14.64,777
14.74,777
14.83,777
14.92,777
15.01,777
15.1,777
15.19,777
15.29,778
15.38,778
15.47,778
15.56,778
15.65,777
15.74,777
15.84,778
15.93,777
16.02,776
16.11,775
16.2,777
16.29,778
16.39,779
16.48,779
16.57,779
16.66,778
16.75,779
16.84,780
16.93,780
17.03,780
17.12,781
17.21,780
17.3,780
17.39,780
17.49,780
17.58,780
17.67,780
17.76,780
17.85,781
17.94,781
18.04,781
18.13,781
18.22,781
18.31,781
18.4,781
18.5,781
18.59,781
18.68,781
18.77,781
18.86,782
18.95,781
19.04,781
19.14,782
19.23,781
19.32,781
19.41,781
19.5,782
19.59,781
19.69,781
19.78,781
19.87,781
19.96,781
20.05,781
20.14,781
20.24,781
20.33,781
20.42,781
20.51,780
20.6,780
20.69,780
20.79,779
20.88,779
20.97,779
21.06,779
21.15,779
21.25,779
21.34,779
21.43,779
21.52,778
21.61,779
21.7,779
21.79,778
21.89,778
21.98,778
22.07,777
22.16,777
22.25,777
22.34,777
22.44,778
22.53,777
22.62,778
22.71,778
22.8,778
22.89,778
22.99,778
23.08,778
23.17,778
23.26,778
23.35,778
23.44,778
23.54,778
23.63,778
23.72,778
23.81,778
23.9,778
24,778
24.09,778
24.18,778
24.27,778
24.36,778
24.45,778
24.55,778
24.64,778
24.73,778
24.82,778
24.91,778
25,778
25.1,778
25.19,778
25.28,778
25.37,778
25.46,777
25.55,777
25.65,777
25.74,777
25.83,777
25.92,778
26.01,777
26.1,778
26.2,778
26.29,778
26.38,779
26.47,779
26.56,779
26.65,779
26.75,778
26.84,778
26.93,778
27.02,778
27.11,778
27.2,778
27.3,778
27.39,778
27.48,779
27.57,780
27.66,780
27.75,779
27.85,780
27.94,780
28.03,780
28.12,780
28.21,780
28.3,780
28.4,780
28.49,780
28.58,780
28.67,780
28.76,780
28.85,780
28.95,780
29.04,779
29.13,780
29.22,779
29.31,779
29.4,779
29.5,779
29.59,779
29.68,779
29.77,779
29.86,779
29.96,779
30.05,779
30.14,779
30.23,779
30.32,779
30.41,779
30.5,779
30.6,779
30.69,779
30.78,778
30.87,778
30.96,778
31.05,778
31.15,778
31.24,778
31.33,778
31.42,778
31.51,778
31.6,778
31.7,778
31.79,777
31.88,777
31.97,777
32.06,777
32.15,777
32.25,777
32.34,777
32.43,777
32.52,776
32.61,776
32.71,775
32.8,773
32.89,773
32.98,773
33.07,773
33.16,773
33.26,773
33.35,773
33.44,773
33.53,773
33.62,773
33.71,773
33.81,773
33.9,773
33.99,773
34.08,773
34.17,773
34.27,773
34.36,773
34.45,773
34.54,774
34.63,774
34.72,774
34.81,774
34.91,774
35,774
35.09,774
35.18,774
35.27,774
35.36,773
35.46,773
35.55,773
35.64,773
35.73,772
35.82,772
35.91,772
36.01,772
36.1,772
36.19,772
36.28,772
36.37,773
36.47,773
36.56,773
36.65,773
36.74,774
36.83,774
36.92,774
37.02,774
37.11,775
37.2,775
37.29,775
37.38,775
37.47,775
37.56,775
37.66,775
37.75,775
37.84,775
37.93,775
38.02,775
38.12,775
38.21,775
38.3,775
38.39,775
38.48,776
38.57,776
38.67,775
38.76,776
38.85,775
38.94,776
39.03,776
39.12,775
39.22,775
39.31,775
39.4,775
39.49,775
39.58,775
39.67,775
39.77,775
39.86,775
39.95,775
40.04,776
40.13,776
40.22,776
40.31,776
40.41,776
40.5,776
40.59,776
40.68,776
40.77,776
40.87,776
40.96,775
41.05,775
41.14,774
41.23,774
41.32,774
41.42,774
41.51,775
41.6,775
41.69,775
41.78,774
41.87,774
41.97,774
42.06,773
42.15,773
42.24,772
42.33,771
42.42,770
42.52,768
42.61,767
42.7,768
42.79,767
42.88,769
42.97,770
43.07,770
43.16,770
43.25,769
43.34,770
43.43,771
43.53,772
43.62,771
43.71,771
43.8,769
43.89,771
43.98,770
44.08,769
44.17,767
44.26,765
44.35,765
44.44,765
44.53,765
44.62,765
44.72,765
44.81,764
44.9,764
44.99,760
45.08,763
45.18,763
45.27,766
45.36,768
45.45,770
45.54,770
45.63,766
45.72,765
45.82,765
45.91,766
46,766
46.09,766
46.18,765
46.28,765
46.37,765
46.46,765
46.55,764
46.64,756
46.73,755
46.83,756
46.92,756
47.01,756
47.1,756
47.19,756
47.28,755
47.38,756
47.47,756
47.56,756
47.65,756
47.74,755
47.83,756
47.93,755
48.02,755
48.11,754
48.2,754
48.29,753
48.38,752
48.48,751
48.57,752
48.66,753
48.75,756
48.84,756
48.93,756
49.03,756
49.12,757
49.21,756
49.3,756
49.39,755
49.48,755
49.58,755
49.67,755
49.76,755
49.85,755
49.94,753
50.03,753
50.13,755
50.22,755
50.31,755
50.4,755
