Time [s], liquid_level_reading
0,517
0,517
0,517
0,517
0.06,517
0.14,517
0.22,518
0.31,517
0.39,518
0.47,517
0.56,518
0.64,518
0.72,517
0.81,517
0.89,517
0.97,518
1.06,517
1.14,517
1.22,518
1.31,518
1.39,517
1.47,517
1.56,518
1.64,518
1.73,517
1.81,518
1.89,518
1.98,518
2.06,518
2.14,517
2.23,518
2.31,517
2.39,518
2.48,518
2.56,518
2.64,518
2.72,518
2.81,518
2.89,518
2.97,517
3.06,518
3.14,518
3.23,518
3.31,518
3.39,518
3.48,517
3.56,518
3.64,518
3.73,518
3.81,518
3.89,518
3.98,518
4.06,518
4.14,518
4.23,518
4.31,518
4.39,518
4.48,518
4.56,518
4.64,518
4.73,518
4.81,518
4.89,518
4.98,518
5.06,518
5.14,518
5.23,518
5.31,518
5.39,518
5.48,518
5.56,518
5.64,518
5.73,518
5.81,518
5.89,518
5.98,518
6.06,518
6.14,518
6.23,518
6.31,518
6.39,518
6.48,518
6.56,518
6.64,518
6.73,518
6.81,518
6.89,518
6.98,518
7.06,518
7.14,518
7.23,518
7.31,518
7.39,518
7.48,518
7.56,518
7.64,518
7.73,518
7.81,518
7.89,518
7.98,518
8.06,518
8.14,518
8.23,518
8.31,518
8.39,518
8.48,518
8.56,518
8.64,518
8.73,518
8.81,518
8.89,518
8.98,518
9.06,518
9.14,518
9.23,518
9.31,518
9.39,518
9.48,518
9.56,518
9.64,518
9.73,518
9.81,518
9.89,517
9.98,518
10.06,517
10.15,518
10.24,517
10.34,517
10.43,517
10.52,517
10.61,517
10.7,517
10.79,517
10.89,518
10.98,518
11.07,518
11.16,517
11.25,518
11.34,517
11.44,517
11.53,517
11.62,517
11.71,517
11.8,517
11.89,517
11.98,517
12.08,517
12.17,517
12.26,517
12.35,517
12.44,517
12.53,517
12.63,517
12.72,517
12.81,517
12.9,517
12.99,517
13.09,517
13.18,517
13.27,517
13.36,517
13.45,518
13.54,518
13.64,517
13.73,518
13.82,517
13.91,517
14,517
14.09,517
14.19,517
14.28,517
14.37,517
14.46,517
14.55,517
14.64,517
14.74,517
14.83,517
14.92,517
15.01,517
15.1,517
15.19,517
15.29,517
15.38,517
15.47,517
15.56,517
15.65,517
15.74,517
15.84,517
15.93,517
16.02,517
16.11,517
16.2,517
16.29,517
16.39,517
16.48,517
16.57,517
16.66,517
16.75,517
16.84,517
16.93,517
17.03,517
17.12,517
17.21,517
17.3,516
17.39,515
17.49,516
17.58,517
17.67,517
17.76,517
17.85,517
17.94,517
18.04,517
18.13,516
18.22,517
18.31,517
18.4,517
18.5,517
18.59,517
18.68,517
18.77,517
18.86,517
18.95,517
19.04,517
19.14,517
19.23,517
19.32,517
19.41,517
19.5,517
19.59,517
19.69,517
19.78,517
19.87,517
19.96,517
20.05,517
20.14,517
20.24,517
20.33,517
20.42,517
20.51,517
20.6,517
20.69,517
20.79,517
20.88,517
20.97,516
21.06,517
21.15,517
21.25,517
21.34,516
21.43,517
21.52,516
21.61,517
21.7,517
21.79,518
21.89,516
21.98,520
22.07,522
22.16,523
22.25,523
22.34,526
22.44,527
22.53,527
22.62,529
22.71,529
22.8,534
22.89,541
22.99,541
23.08,542
