Time [s], liquid_level_reading
0,508
0,508
0,508
0,508
0.09,508
0.23,508
0.36,508
0.49,508
0.63,508
0.76,508
0.89,508
1.03,508
1.16,508
1.29,508
1.43,508
1.56,508
1.69,508
1.83,508
1.96,508
2.09,508
2.23,508
2.36,508
2.49,508
2.63,508
2.76,508
2.89,508
3.03,508
3.16,508
3.29,508
3.43,508
3.56,508
3.69,508
3.83,508
3.96,508
4.09,508
4.23,508
4.36,508
4.49,508
4.63,508
4.76,508
4.89,508
5.03,508
5.16,508
5.29,508
5.43,508
5.56,508
5.69,508
5.83,508
5.96,508
6.09,508
6.23,508
6.36,508
6.49,508
6.63,508
6.76,508
6.89,508
7.03,508
7.16,508
7.29,508
7.43,508
7.56,508
7.69,508
7.83,508
7.96,508
8.09,508
8.23,508
8.36,508
8.49,508
8.63,508
8.76,508
8.89,508
9.03,508
9.16,508
9.29,508
9.43,508
9.56,508
9.69,508
9.83,508
9.96,508
10.09,508
10.24,508
10.39,508
10.53,508
10.68,508
10.83,508
10.97,508
11.12,508
11.27,508
11.41,508
11.56,508
11.71,508
11.85,508
12,508
12.15,508
12.3,508
12.44,508
12.59,508
12.73,508
12.88,508
13.03,508
13.17,508
13.32,508
13.47,508
13.61,508
13.76,508
13.91,508
14.05,508
14.2,508
14.35,508
14.49,508
14.64,508
14.79,508
14.94,508
15.08,508
15.23,508
15.38,508
15.52,508
15.67,508
15.81,508
15.96,508
16.11,508
16.25,508
16.4,508
16.55,508
16.69,508
16.84,508
16.99,508
17.13,509
17.28,509
17.43,513
17.57,518
17.72,517
17.87,524
18.01,531
18.16,540
18.31,544
18.45,546
18.6,547
18.75,552
18.89,562
19.04,567
19.19,569
19.33,576
19.48,574
19.63,582
19.77,591
19.92,595
20.07,596
20.21,597
20.36,602
20.51,608
20.66,611
20.8,614
20.95,618
21.09,625
21.24,629
21.39,639
21.53,640
21.68,644
21.83,644
21.98,648
22.12,652
22.27,661
22.42,659
22.56,661
22.71,673
22.85,673
23,675
23.15,676
23.3,682
23.44,687
23.59,689
23.74,701
23.88,702
24.03,703
24.18,703
24.32,703
24.47,704
24.61,719
24.76,736
24.91,735
25.06,733
25.2,732
25.35,732
25.5,732
25.64,732
25.79,734
25.93,734
26.08,732
26.23,735
26.38,736
26.52,738
26.67,737
26.82,738
26.96,738
27.11,738
27.26,739
27.4,738
27.55,739
27.7,739
27.84,738
27.99,738
28.14,738
28.28,738
28.43,738
28.58,738
28.72,738
28.87,739
29.02,739
29.16,738
29.31,739
29.46,738
29.6,738
29.75,738
29.9,738
30.04,738
30.19,738
30.34,738
30.48,739
30.63,739
30.78,740
30.92,739
31.07,739
31.22,739
31.36,741
31.51,741
31.66,742
31.8,741
31.95,741
32.1,742
32.24,742
32.39,742
32.54,742
32.68,742
32.83,742
32.98,742
33.12,742
33.27,742
33.42,742
33.56,742
33.71,742
33.86,742
34,743
34.15,743
34.3,743
34.44,743
34.59,742
34.74,743
34.88,742
35.03,742
35.18,743
35.32,742
35.47,742
35.62,742
35.76,742
35.91,742
36.06,742
36.2,742
36.35,741
36.5,743
36.64,743
36.79,742
36.94,743
37.08,742
37.23,742
37.38,742
37.52,743
37.67,742
37.82,742
37.96,743
38.11,743
38.26,742
38.4,742
38.55,742
38.7,742
38.84,741
38.99,742
39.14,743
39.28,742
39.43,742
39.58,742
39.72,742
39.87,742
40.02,742
40.16,742
40.31,742
40.46,742
40.6,741
40.75,742
40.9,742
41.04,742
41.19,742
41.34,742
41.49,742
41.63,742
41.78,742
41.92,741
42.07,742
42.22,742
42.36,742
42.51,742
42.66,741
42.81,741
42.95,742
43.1,742
43.25,742
43.39,742
43.54,742
43.68,742
43.83,742
43.98,742
44.13,742
44.27,742
44.42,742
44.56,742
44.71,742
44.86,742
45.01,742
45.15,741
45.3,742
45.45,742
45.59,742
45.74,742
45.88,742
46.03,742
46.18,742
46.33,742
46.47,742
46.62,742
46.77,742
46.91,742
47.06,743
47.21,742
47.35,743
47.5,743
47.65,743
47.79,742
47.94,743
48.09,742
48.23,743
48.38,743
48.53,743
48.67,743
48.82,742
48.97,743
49.11,743
49.26,742
49.4,742
49.55,742
49.7,743
49.85,742
49.99,743
50.14,743
50.29,743
50.43,743
50.58,743
50.72,743
50.87,743
51.02,743
51.17,742
51.31,743
51.46,743
51.61,743
51.75,743
51.9,743
52.04,743
52.19,743
52.34,743
52.49,742
52.63,742
52.78,743
52.93,742
53.07,742
53.22,743
53.37,743
53.51,743
53.66,743
53.81,742
53.95,742
54.1,742
54.25,742
54.39,742
54.54,743
54.69,741
54.83,742
54.98,742
55.13,742
55.27,742
55.42,742
55.57,742
55.71,743
55.86,743
56.01,743
56.15,743
56.3,743
56.45,743
56.59,743
56.74,743
56.89,743
57.03,743
57.18,743
57.33,743
57.47,743
57.62,743
57.77,743
57.91,743
58.06,743
58.21,743
58.35,743
58.5,743
58.65,743
58.79,743
58.94,742
59.09,743
59.23,743
59.38,743
59.53,743
59.67,742
59.82,743
59.97,742
60.11,742
60.26,743
60.41,743
60.55,742
60.7,743
60.85,743
60.99,743
61.14,742
61.29,743
61.43,742
61.58,743
61.73,743
61.87,742
62.02,743
62.17,742
62.31,743
62.46,743
62.61,742
62.75,742
62.9,742
63.05,742
63.19,742
63.34,742
63.49,741
63.63,739
63.78,739
63.93,739
64.07,739
64.22,739
64.37,738
64.51,738
64.66,738
64.81,738
64.95,739
65.1,738
65.25,739
65.39,738
65.54,738
65.69,738
65.83,738
65.98,738
66.13,739
66.27,739
