Time [s], liquid_level_reading
0,512
0,512
0,512
0,512
0.09,513
0.23,514
0.36,516
0.49,513
0.63,514
0.76,514
0.89,516
1.03,516
1.16,514
1.29,512
1.43,512
1.56,511
1.69,514
1.83,514
1.96,515
2.09,516
2.23,515
2.36,514
2.49,514
2.63,513
2.76,513
2.89,513
3.03,514
3.16,515
3.29,514
3.43,513
3.56,513
3.69,516
3.83,514
3.96,514
4.09,514
4.23,514
4.36,513
4.49,513
4.63,512
4.76,512
4.89,512
5.03,513
5.16,512
5.29,513
5.43,514
5.56,514
5.69,514
5.83,512
5.96,512
6.09,512
6.23,513
6.36,512
6.49,512
6.63,513
6.76,513
6.89,512
7.03,512
7.16,513
7.29,512
7.43,513
7.56,512
7.69,512
7.83,512
7.96,513
8.09,510
8.23,508
8.36,508
8.49,508
8.63,509
8.76,509
8.89,511
9.03,511
9.16,512
9.29,513
9.43,513
9.56,512
9.69,511
9.83,512
9.96,511
10.09,512
10.24,513
10.39,515
10.53,513
10.68,511
10.83,514
10.97,514
11.12,512
11.27,512
11.41,512
11.56,513
11.71,512
11.85,512
12,513
12.15,512
12.3,512
12.44,512
12.59,513
12.73,512
12.88,512
13.03,513
13.17,513
13.32,512
13.47,512
13.61,513
13.76,512
13.91,512
14.05,512
14.2,513
14.35,512
14.49,512
14.64,513
14.79,513
14.94,512
15.08,512
15.23,513
15.38,512
15.52,513
15.67,513
15.81,513
15.96,512
16.11,512
16.25,513
16.4,513
16.55,512
16.69,513
16.84,516
16.99,517
17.13,517
17.28,522
17.43,521
17.57,529
17.72,532
17.87,539
18.01,542
18.16,545
18.31,547
18.45,551
18.6,553
18.75,563
18.89,568
19.04,571
19.19,572
19.33,574
19.48,580
19.63,585
19.77,593
19.92,598
20.07,597
20.21,602
20.36,605
20.51,612
20.66,615
20.8,616
20.95,617
21.09,627
21.24,629
21.39,641
21.53,638
21.68,646
21.83,648
21.98,648
22.12,648
22.27,657
22.42,660
22.56,665
22.71,669
22.85,675
23,679
23.15,689
23.3,693
23.44,698
23.59,703
23.74,704
23.88,707
24.03,735
24.18,734
24.32,733
24.47,735
24.61,735
24.76,738
24.91,737
25.06,738
25.2,738
25.35,738
25.5,738
25.64,738
25.79,738
25.93,738
26.08,739
26.23,739
26.38,739
26.52,739
26.67,738
26.82,739
26.96,740
27.11,739
27.26,739
27.4,740
27.55,740
27.7,742
27.84,742
27.99,742
28.14,741
28.28,743
28.43,743
28.58,743
28.72,743
28.87,743
29.02,743
29.16,743
29.31,743
29.46,743
29.6,743
29.75,743
29.9,743
30.04,744
30.19,743
30.34,743
30.48,743
30.63,744
30.78,744
30.92,746
31.07,748
31.22,755
31.36,756
31.51,762
31.66,766
31.8,764
31.95,763
32.1,765
32.24,773
32.39,774
32.54,775
32.68,775
32.83,774
32.98,773
33.12,774
33.27,774
33.42,775
33.56,775
33.71,776
33.86,775
34,775
34.15,776
34.3,776
34.44,775
34.59,776
34.74,776
34.88,776
35.03,775
35.18,775
35.32,776
35.47,776
35.62,776
35.76,776
35.91,775
36.06,775
36.2,776
36.35,776
36.5,775
36.64,776
36.79,776
36.94,776
37.08,776
37.23,776
37.38,777
37.52,776
37.67,776
37.82,777
37.96,777
38.11,777
38.26,777
38.4,777
38.55,777
38.7,777
38.84,777
38.99,777
39.14,777
39.28,777
39.43,777
39.58,777
39.72,777
39.87,777
40.02,777
40.16,777
40.31,777
40.46,778
40.6,777
40.75,778
40.9,778
41.04,778
41.19,778
41.34,777
41.49,778
41.63,777
41.78,778
41.92,778
42.07,778
42.22,778
42.36,778
42.51,778
42.66,778
42.81,778
42.95,778
43.1,778
43.25,778
43.39,778
43.54,778
43.68,778
43.83,778
43.98,778
44.13,778
44.27,778
44.42,778
44.56,778
44.71,778
44.86,778
45.01,778
45.15,778
45.3,778
45.45,778
45.59,778
45.74,778
45.88,778
46.03,778
46.18,778
46.33,778
46.47,778
46.62,778
46.77,778
46.91,778
47.06,778
47.21,778
47.35,777
47.5,776
47.65,777
47.79,777
47.94,777
48.09,778
48.23,777
48.38,777
48.53,778
48.67,778
48.82,778
48.97,777
49.11,777
49.26,778
49.4,777
49.55,778
49.7,778
49.85,777
49.99,778
50.14,778
50.29,777
50.43,777
50.58,778
50.72,777
50.87,777
51.02,777
51.17,777
51.31,778
51.46,777
51.61,778
51.75,777
51.9,778
52.04,778
52.19,778
52.34,777
52.49,777
52.63,777
52.78,778
52.93,778
53.07,778
53.22,778
53.37,778
53.51,777
53.66,778
53.81,778
53.95,777
54.1,777
54.25,777
54.39,777
54.54,777
54.69,777
54.83,777
54.98,777
55.13,777
55.27,777
55.42,777
55.57,777
55.71,777
55.86,777
56.01,777
56.15,777
56.3,776
56.45,777
56.59,777
56.74,777
56.89,777
57.03,777
57.18,777
57.33,777
57.47,777
57.62,777
57.77,777
57.91,777
58.06,777
58.21,777
58.35,777
58.5,777
58.65,777
58.79,777
58.94,777
59.09,777
59.23,776
59.38,776
59.53,776
59.67,776
59.82,776
59.97,777
60.11,777
60.26,776
60.41,776
60.55,776
60.7,776
60.85,776
60.99,777
61.14,776
61.29,776
61.43,775
61.58,775
61.73,774
61.87,774
62.02,772
62.17,770
62.31,768
62.46,768
62.61,768
62.75,768
62.9,767
63.05,767
63.19,767
63.34,767
63.49,767
63.63,766
63.78,766
63.93,766
64.07,763
64.22,762
64.37,762
64.51,762
64.66,762
64.81,762
64.95,762
65.1,762
65.25,762
65.39,762
65.54,762
65.69,762
65.83,761
65.98,761
66.13,760
66.27,759
66.42,759
66.57,758
66.71,758
66.86,758
67.01,758
67.15,757
67.3,757
67.45,757
67.59,756
67.74,756
67.89,755
68.03,755
68.18,755
68.33,755
68.47,754
68.62,754
68.77,754
68.91,753
69.06,752
69.21,750
69.36,750
69.5,750
69.65,750
69.79,750
69.94,750
70.09,750
70.23,749
70.38,750
70.53,749
70.68,749
70.82,749
70.97,749
71.11,749
71.26,749
71.41,748
71.55,744
71.7,744
71.85,744
72,744
72.14,744
72.29,744
72.43,744
72.58,744
72.73,744
72.88,744
73.02,744
73.17,744
73.31,744
73.46,744
73.61,744
73.75,744
73.9,744
74.05,744
74.19,744
74.34,744
74.49,744
74.64,744
74.78,744
74.93,744
75.07,744
75.22,744
75.37,744
75.51,744
75.66,744
75.81,744
75.96,744
76.1,744
76.25,744
76.39,744
76.54,744
76.69,744
76.83,744
76.98,744
77.13,744
77.28,744
77.42,743
77.57,744
77.72,743
77.86,743
78.01,743
78.15,743
78.3,744
78.45,744
78.6,744
78.74,743
78.89,743
79.04,744
79.18,743
79.33,743
79.48,743
79.62,743
79.77,743
79.92,743
80.06,743
80.21,743
80.36,743
80.5,742
80.65,740
80.8,740
80.94,740
81.09,740
81.24,740
