Time [s], liquid_level_reading
0,663
0,663
0,662
0,662
0.06,663
0.14,662
0.22,662
0.31,662
0.39,662
0.47,662
0.56,662
0.64,662
0.72,662
0.81,662
0.89,662
0.97,661
1.06,662
1.14,662
1.22,662
1.31,662
1.39,662
1.47,662
1.56,662
1.64,662
1.73,662
1.81,662
1.89,662
1.98,662
2.06,662
2.14,663
2.23,662
2.31,662
2.39,662
2.48,662
2.56,661
2.64,658
2.72,658
2.81,648
2.89,657
2.97,658
3.06,660
3.14,659
3.23,659
3.31,659
3.39,659
3.48,659
3.56,659
3.64,659
3.73,659
3.81,660
3.89,659
3.98,660
4.06,659
4.14,659
4.23,659
4.31,659
4.39,659
4.48,659
4.56,659
4.64,659
4.73,659
4.81,659
4.89,659
4.98,659
5.06,659
5.14,659
5.23,659
5.31,659
5.39,659
5.48,659
5.56,660
5.64,659
5.73,645
5.81,642
5.89,648
5.98,640
6.06,642
6.14,646
6.23,649
6.31,649
6.39,650
6.48,648
6.56,646
6.64,642
6.73,645
6.81,644
6.89,610
6.98,611
7.06,616
7.14,614
7.23,618
7.31,623
7.39,622
7.48,626
7.56,630
7.64,634
7.73,634
7.81,634
7.89,637
7.98,639
8.06,642
8.14,641
8.23,642
8.31,645
8.39,647
8.48,649
8.56,652
8.64,657
8.73,660
8.81,661
8.89,664
8.98,672
9.06,673
9.14,673
9.23,680
9.31,682
9.39,687
9.48,690
9.56,691
9.64,693
9.73,702
9.81,703
9.89,703
9.98,703
10.06,703
10.15,714
10.24,737
10.34,732
10.43,737
10.52,738
10.61,736
10.7,737
10.79,738
10.89,738
10.98,738
11.07,740
11.16,741
11.25,743
11.34,743
11.44,743
11.53,746
11.62,747
11.71,751
11.8,754
11.89,758
11.98,759
12.08,761
12.17,766
12.26,764
12.35,761
12.44,762
12.53,763
12.63,767
12.72,771
12.81,772
12.9,773
12.99,772
13.09,772
13.18,771
13.27,771
13.36,773
13.45,775
13.54,773
13.64,773
13.73,773
13.82,773
13.91,774
14,773
14.09,773
14.19,773
14.28,773
14.37,774
14.46,774
14.55,774
14.64,775
14.74,774
14.83,776
14.92,777
15.01,776
15.1,777
15.19,777
15.29,777
15.38,777
15.47,777
15.56,777
15.65,777
15.74,778
15.84,777
15.93,777
16.02,778
16.11,777
16.2,778
16.29,777
16.39,777
16.48,778
16.57,777
16.66,778
16.75,778
16.84,778
16.93,779
17.03,778
17.12,779
17.21,778
17.3,778
17.39,779
17.49,780
17.58,779
17.67,779
17.76,778
17.85,778
17.94,779
18.04,778
18.13,779
18.22,779
18.31,778
18.4,778
18.5,778
18.59,779
18.68,778
18.77,778
18.86,778
18.95,778
19.04,778
19.14,778
19.23,778
19.32,778
19.41,778
19.5,778
19.59,778
19.69,778
19.78,779
19.87,778
19.96,778
20.05,778
20.14,777
20.24,778
20.33,777
20.42,777
20.51,777
20.6,777
20.69,777
20.79,777
20.88,776
20.97,776
21.06,777
21.15,777
21.25,778
21.34,777
21.43,778
21.52,778
21.61,777
21.7,777
21.79,778
21.89,777
21.98,778
22.07,778
22.16,778
22.25,778
22.34,777
22.44,777
22.53,777
22.62,778
22.71,777
22.8,777
22.89,777
22.99,777
23.08,777
23.17,776
23.26,776
23.35,775
23.44,776
23.54,776
23.63,776
23.72,776
23.81,776
23.9,776
24,775
24.09,775
24.18,775
24.27,775
24.36,774
24.45,775
24.55,775
24.64,775
24.73,776
24.82,776
24.91,775
25,775
25.1,775
25.19,776
25.28,775
25.37,775
25.46,776
25.55,775
25.65,776
25.74,776
25.83,776
25.92,777
26.01,776
26.1,776
26.2,775
26.29,776
26.38,776
26.47,775
26.56,776
26.65,775
26.75,776
26.84,776
26.93,775
27.02,776
27.11,776
27.2,775
27.3,775
27.39,776
27.48,774
27.57,775
27.66,775
27.75,774
27.85,774
27.94,774
28.03,774
28.12,774
28.21,774
28.3,775
28.4,774
28.49,774
28.58,774
28.67,774
28.76,774
28.85,773
28.95,773
29.04,774
29.13,773
29.22,773
29.31,773
29.4,772
29.5,773
29.59,772
29.68,772
29.77,771
29.86,771
29.96,771
30.05,771
30.14,770
30.23,770
30.32,769
30.41,769
30.5,769
30.6,769
30.69,769
30.78,769
30.87,768
30.96,769
31.05,769
31.15,769
31.24,769
31.33,769
31.42,769
31.51,769
31.6,768
31.7,768
31.79,769
31.88,768
31.97,768
32.06,768
32.15,768
32.25,768
32.34,768
32.43,769
32.52,769
32.61,768
32.71,769
32.8,768
32.89,768
32.98,767
33.07,768
33.16,768
33.26,768
33.35,768
33.44,767
33.53,768
33.62,768
33.71,767
33.81,767
33.9,767
33.99,767
34.08,769
34.17,769
34.27,768
34.36,769
34.45,769
34.54,770
34.63,772
34.72,772
34.81,774
34.91,773
35,773
35.09,774
35.18,774
35.27,775
35.36,774
35.46,775
35.55,775
35.64,776
35.73,775
35.82,775
35.91,776
36.01,775
36.1,775
36.19,775
36.28,776
36.37,775
36.47,776
36.56,776
36.65,776
36.74,775
36.83,776
36.92,772
37.02,767
37.11,767
37.2,767
37.29,767
37.38,767
37.47,767
37.56,766
37.66,767
37.75,766
37.84,756
37.93,756
38.02,754
38.12,761
38.21,761
38.3,759
38.39,756
38.48,754
38.57,754
38.67,754
38.76,754
38.85,754
38.94,755
39.03,754
39.12,754
39.22,754
39.31,753
39.4,753
39.49,753
39.58,753
39.67,753
39.77,753
39.86,752
39.95,753
40.04,753
40.13,752
40.22,752
40.31,752
40.41,752
40.5,751
40.59,751
40.68,750
40.77,750
40.87,749
40.96,748
41.05,748
41.14,748
41.23,748
41.32,748
41.42,747
41.51,747
41.6,746
41.69,746
41.78,747
41.87,746
41.97,746
42.06,745
