Time [s], liquid_level_reading
0,508
0,508
0,508
0,508
0.09,508
0.23,508
0.36,508
0.49,508
0.63,508
0.76,508
0.89,508
1.03,508
1.16,508
1.29,508
1.43,508
1.56,508
1.69,508
1.83,508
1.96,508
2.09,508
2.23,508
2.36,508
2.49,508
2.63,508
2.76,508
2.89,508
3.03,508
3.16,508
3.29,508
3.43,508
3.56,508
3.69,508
3.83,508
3.96,508
4.09,508
4.23,508
4.36,508
4.49,508
4.63,508
4.76,508
4.89,508
5.03,508
5.16,508
5.29,508
5.43,508
5.56,508
5.69,508
5.83,508
5.96,508
6.09,508
6.23,508
6.36,508
6.49,508
6.63,508
6.76,508
6.89,508
7.03,508
7.16,508
7.29,508
7.43,508
7.56,508
7.69,508
7.83,508
7.96,508
8.09,508
8.23,512
8.36,512
8.49,516
8.63,522
8.76,542
8.89,544
9.03,547
9.16,552
9.29,559
9.43,566
9.56,569
9.69,576
9.83,582
9.96,590
10.09,599
10.24,604
10.39,606
10.53,609
10.68,614
10.83,614
10.97,628
11.12,630
11.27,632
11.41,640
11.56,645
11.71,644
11.85,648
12,647
12.15,657
12.3,657
12.44,660
12.59,661
12.73,666
12.88,670
13.03,673
13.17,671
13.32,677
13.47,684
13.61,687
13.76,695
13.91,702
14.05,702
14.2,703
14.35,719
14.49,733
14.64,732
14.79,736
14.94,738
15.08,741
15.23,741
15.38,742
15.52,742
15.67,743
15.81,742
15.96,742
16.11,743
16.25,750
16.4,744
16.55,749
16.69,746
16.84,747
16.99,756
17.13,751
17.28,755
17.43,755
17.57,754
17.72,755
17.87,758
18.01,756
18.16,756
18.31,756
18.45,756
18.6,761
18.75,760
18.89,765
19.04,768
19.19,772
19.33,768
19.48,760
19.63,766
19.77,771
19.92,769
20.07,770
20.21,764
20.36,763
20.51,763
20.66,764
20.8,763
20.95,764
21.09,767
21.24,767
21.39,767
21.53,764
21.68,767
21.83,768
21.98,769
22.12,769
22.27,770
22.42,769
22.56,769
22.71,769
22.85,769
23,769
23.15,769
23.3,770
23.44,769
23.59,770
23.74,769
23.88,770
24.03,770
24.18,770
24.32,770
24.47,771
24.61,770
24.76,770
24.91,770
25.06,770
25.2,771
25.35,771
25.5,771
25.64,772
25.79,771
25.93,771
26.08,771
26.23,771
26.38,772
26.52,771
26.67,771
26.82,771
26.96,772
27.11,771
27.26,770
27.4,771
27.55,772
27.7,771
27.84,772
27.99,771
28.14,772
28.28,772
28.43,772
28.58,772
28.72,773
28.87,773
29.02,773
29.16,773
29.31,772
29.46,772
29.6,772
29.75,772
29.9,772
30.04,772
30.19,772
30.34,772
30.48,772
30.63,772
30.78,772
30.92,772
31.07,772
31.22,772
31.36,771
31.51,771
31.66,771
31.8,771
31.95,771
32.1,770
32.24,770
32.39,770
32.54,769
32.68,772
32.83,773
32.98,772
33.12,773
33.27,773
33.42,773
33.56,773
33.71,773
33.86,773
34,773
34.15,772
34.3,772
34.44,771
34.59,772
34.74,772
34.88,772
35.03,771
35.18,771
35.32,770
35.47,770
35.62,770
35.76,770
35.91,770
36.06,770
36.2,770
36.35,769
36.5,770
36.64,770
36.79,769
36.94,770
37.08,770
37.23,770
37.38,770
37.52,770
37.67,770
37.82,770
37.96,769
38.11,770
38.26,770
38.4,770
38.55,770
38.7,770
38.84,770
38.99,771
39.14,771
39.28,771
39.43,771
39.58,771
39.72,771
39.87,771
40.02,771
40.16,771
40.31,771
40.46,771
40.6,771
40.75,771
40.9,771
41.04,771
41.19,771
41.34,771
41.49,771
41.63,771
41.78,771
41.92,770
42.07,771
42.22,770
42.36,770
42.51,771
42.66,771
42.81,770
42.95,770
43.1,770
43.25,770
43.39,770
43.54,770
43.68,770
43.83,769
43.98,769
44.13,770
44.27,769
44.42,770
44.56,770
44.71,770
44.86,769
45.01,769
45.15,770
45.3,770
45.45,770
45.59,769
45.74,770
45.88,769
46.03,769
46.18,769
46.33,769
46.47,770
46.62,769
46.77,769
46.91,770
47.06,770
47.21,770
47.35,770
47.5,770
47.65,770
47.79,770
47.94,770
48.09,770
48.23,770
48.38,770
48.53,770
48.67,770
48.82,770
48.97,770
49.11,770
49.26,770
49.4,770
49.55,770
49.7,770
49.85,770
49.99,770
50.14,770
50.29,770
50.43,770
50.58,770
50.72,770
50.87,770
51.02,770
51.17,770
51.31,770
51.46,770
51.61,770
51.75,770
51.9,769
52.04,770
52.19,769
52.34,769
52.49,769
52.63,769
52.78,769
52.93,769
53.07,769
53.22,769
53.37,769
53.51,769
53.66,769
53.81,769
53.95,769
54.1,769
54.25,769
54.39,769
54.54,769
54.69,769
54.83,767
54.98,768
55.13,768
55.27,767
55.42,767
55.57,767
55.71,767
55.86,767
56.01,767
56.15,767
56.3,767
56.45,767
56.59,767
56.74,767
56.89,767
57.03,768
57.18,768
57.33,768
57.47,768
57.62,768
57.77,768
57.91,768
58.06,767
58.21,767
58.35,767
58.5,767
58.65,767
58.79,767
58.94,767
59.09,767
59.23,767
59.38,767
59.53,767
59.67,766
59.82,766
59.97,766
60.11,765
60.26,765
60.41,765
60.55,765
60.7,765
60.85,764
60.99,764
61.14,764
61.29,763
61.43,763
61.58,763
61.73,763
61.87,763
62.02,763
62.17,761
62.31,760
62.46,760
62.61,757
62.75,755
62.9,755
63.05,754
63.19,754
63.34,754
63.49,754
63.63,754
63.78,754
63.93,753
64.07,754
64.22,754
64.37,754
64.51,754
64.66,754
64.81,754
64.95,754
65.1,754
65.25,754
65.39,754
65.54,754
65.69,754
65.83,754
65.98,754
66.13,754
66.27,754
