Time [s], liquid_level_reading
0,508
0,508
0,508
0,508
0.09,508
0.23,508
0.36,508
0.49,508
0.63,508
0.76,508
0.89,508
1.03,508
1.16,508
1.29,508
1.43,508
1.56,508
1.69,508
1.83,508
1.96,508
2.09,508
2.23,508
2.36,508
2.49,508
2.63,508
2.76,508
2.89,508
3.03,508
3.16,508
3.29,508
3.43,508
3.56,508
3.69,508
3.83,508
3.96,508
4.09,508
4.23,508
4.36,508
4.49,508
4.63,508
4.76,508
4.89,508
5.03,508
5.16,508
5.29,508
5.43,508
5.56,508
5.69,508
5.83,508
5.96,508
6.09,508
6.23,508
6.36,508
6.49,508
6.63,508
6.76,508
6.89,508
7.03,508
7.16,508
7.29,508
7.43,508
7.56,508
7.69,508
7.83,508
7.96,508
8.09,508
8.23,508
8.36,508
8.49,508
8.63,508
8.76,508
8.89,508
9.03,508
9.16,508
9.29,508
9.43,508
9.56,508
9.69,508
9.83,508
9.96,508
10.09,508
10.24,508
10.39,508
10.53,508
10.68,508
10.83,508
10.97,508
11.12,508
11.27,508
11.41,508
11.56,508
11.71,508
11.85,508
12,508
12.15,508
12.3,508
12.44,508
12.59,508
12.73,508
12.88,508
13.03,509
13.17,514
13.32,516
13.47,515
13.61,519
13.76,518
13.91,524
14.05,526
14.2,530
14.35,537
14.49,539
14.64,539
14.79,541
14.94,545
15.08,548
15.23,549
15.38,552
15.52,553
15.67,559
15.81,564
15.96,565
16.11,568
16.25,571
16.4,572
16.55,574
16.69,582
16.84,589
16.99,594
17.13,597
17.28,596
17.43,599
17.57,602
17.72,608
17.87,609
18.01,615
18.16,615
18.31,617
18.45,618
18.6,622
18.75,627
18.89,628
19.04,632
19.19,637
19.33,640
19.48,640
19.63,644
19.77,643
19.92,645
20.07,646
20.21,651
20.36,656
20.51,659
20.66,661
20.8,667
20.95,671
21.09,672
21.24,671
21.39,677
21.53,692
21.68,700
21.83,698
21.98,700
22.12,703
22.27,733
22.42,732
22.56,734
22.71,734
22.85,738
23,736
23.15,737
23.3,736
23.44,737
23.59,739
23.74,739
23.88,738
24.03,739
24.18,739
24.32,740
24.47,740
24.61,740
24.76,740
24.91,740
25.06,740
25.2,741
25.35,740
25.5,741
25.64,742
25.79,742
25.93,742
26.08,743
26.23,742
26.38,743
26.52,742
26.67,742
26.82,742
26.96,743
27.11,743
27.26,743
27.4,743
27.55,742
27.7,742
27.84,742
27.99,742
28.14,742
28.28,743
28.43,742
28.58,742
28.72,742
28.87,742
29.02,743
29.16,742
29.31,742
29.46,742
29.6,743
29.75,742
29.9,743
30.04,743
30.19,743
30.34,744
30.48,744
30.63,744
30.78,745
30.92,746
31.07,746
31.22,746
31.36,747
31.51,747
31.66,747
31.8,748
31.95,749
32.1,749
32.24,749
32.39,750
32.54,749
32.68,750
32.83,753
32.98,753
33.12,754
33.27,755
33.42,755
33.56,756
33.71,756
33.86,756
34,756
34.15,756
34.3,756
34.44,757
34.59,756
34.74,756
34.88,757
35.03,757
35.18,757
35.32,757
35.47,757
35.62,757
35.76,757
35.91,757
36.06,758
36.2,764
36.35,764
36.5,767
36.64,770
36.79,770
36.94,772
37.08,774
37.23,774
37.38,775
37.52,775
37.67,775
37.82,775
37.96,775
38.11,775
38.26,775
38.4,775
38.55,775
38.7,775
38.84,775
38.99,775
39.14,775
39.28,775
39.43,775
39.58,775
39.72,776
39.87,775
40.02,775
40.16,775
40.31,775
40.46,775
40.6,775
40.75,775
40.9,775
41.04,775
41.19,775
41.34,776
41.49,775
41.63,776
41.78,775
41.92,775
42.07,764
42.22,769
42.36,775
42.51,775
42.66,776
42.81,775
42.95,776
43.1,776
43.25,776
43.39,775
43.54,776
43.68,776
43.83,776
43.98,776
44.13,776
44.27,776
44.42,776
44.56,776
44.71,776
44.86,775
45.01,776
45.15,776
45.3,776
45.45,776
45.59,775
45.74,776
45.88,776
46.03,776
46.18,776
46.33,776
46.47,776
46.62,776
46.77,776
46.91,776
47.06,776
47.21,776
47.35,776
47.5,776
47.65,776
47.79,776
47.94,776
48.09,776
48.23,776
48.38,776
48.53,776
48.67,776
48.82,776
48.97,776
49.11,776
49.26,776
49.4,776
49.55,776
49.7,776
49.85,776
49.99,776
50.14,776
50.29,776
50.43,776
50.58,776
50.72,776
50.87,776
51.02,776
51.17,776
51.31,776
51.46,776
51.61,776
51.75,776
51.9,776
52.04,776
52.19,776
52.34,776
52.49,776
52.63,776
52.78,776
52.93,776
53.07,775
53.22,776
53.37,776
53.51,775
53.66,775
53.81,776
53.95,775
54.1,776
54.25,775
54.39,776
54.54,776
54.69,776
54.83,776
54.98,776
55.13,775
55.27,775
55.42,776
55.57,775
55.71,775
55.86,775
56.01,775
56.15,775
56.3,775
56.45,775
56.59,774
56.74,774
56.89,774
57.03,772
57.18,771
57.33,771
57.47,770
57.62,770
57.77,770
57.91,770
58.06,770
58.21,770
58.35,771
58.5,771
58.65,771
58.79,771
58.94,771
59.09,771
59.23,771
59.38,772
59.53,771
59.67,771
59.82,772
59.97,771
60.11,772
60.26,772
60.41,772
60.55,772
60.7,768
60.85,772
60.99,772
61.14,772
61.29,772
61.43,772
61.58,772
61.73,772
61.87,772
62.02,772
62.17,772
62.31,772
62.46,772
62.61,772
62.75,772
62.9,772
63.05,772
63.19,772
63.34,772
63.49,772
63.63,772
63.78,772
63.93,772
64.07,771
64.22,771
64.37,771
64.51,770
64.66,770
64.81,769
64.95,768
65.1,768
65.25,767
65.39,767
65.54,767
65.69,767
65.83,767
65.98,768
66.13,767
66.27,767
