Time [s], liquid_level_reading
0,508
0,508
0,508
0,508
0.09,508
0.23,508
0.36,508
0.49,508
0.63,508
0.76,508
0.89,508
1.03,508
1.16,508
1.29,508
1.43,508
1.56,508
1.69,508
1.83,508
1.96,508
2.09,508
2.23,508
2.36,508
2.49,508
2.63,508
2.76,508
2.89,508
3.03,508
3.16,508
3.29,508
3.43,508
3.56,508
3.69,508
3.83,508
3.96,508
4.09,508
4.23,508
4.36,508
4.49,508
4.63,508
4.76,508
4.89,508
5.03,508
5.16,508
5.29,508
5.43,508
5.56,508
5.69,508
5.83,508
5.96,508
6.09,508
6.23,508
6.36,508
6.49,508
6.63,508
6.76,508
6.89,508
7.03,508
7.16,508
7.29,508
7.43,508
7.56,508
7.69,508
7.83,508
7.96,508
8.09,508
8.23,508
8.36,508
8.49,508
8.63,508
8.76,508
8.89,509
9.03,513
9.16,518
9.29,519
9.43,519
9.56,525
9.69,530
9.83,533
9.96,539
10.09,541
10.24,545
10.39,547
10.53,549
10.68,551
10.83,552
10.97,556
11.12,563
11.27,565
11.41,570
11.56,572
11.71,573
11.85,577
12,584
12.15,594
12.3,595
12.44,599
12.59,599
12.73,604
12.88,608
13.03,611
13.17,617
13.32,617
13.47,619
13.61,621
13.76,627
13.91,630
14.05,640
14.2,641
14.35,645
14.49,645
14.64,647
14.79,648
14.94,654
15.08,660
15.23,658
15.38,666
15.52,667
15.67,669
15.81,671
15.96,673
16.11,679
16.25,683
16.4,686
16.55,693
16.69,695
16.84,695
16.99,695
17.13,697
17.28,699
17.43,702
17.57,703
17.72,703
17.87,704
18.01,706
18.16,718
18.31,720
18.45,736
18.6,731
18.75,732
18.89,737
19.04,737
19.19,736
19.33,732
19.48,733
19.63,734
19.77,736
19.92,734
20.07,735
20.21,735
20.36,734
20.51,735
20.66,735
20.8,735
20.95,736
21.09,736
21.24,736
21.39,736
21.53,736
21.68,736
21.83,736
21.98,737
22.12,736
22.27,737
22.42,737
22.56,737
22.71,737
22.85,737
23,737
23.15,739
23.3,738
23.44,737
23.59,737
23.74,737
23.88,739
24.03,737
24.18,737
24.32,738
24.47,739
24.61,740
24.76,739
24.91,740
25.06,738
25.2,739
25.35,739
25.5,739
25.64,739
25.79,740
25.93,741
26.08,741
26.23,741
26.38,741
26.52,741
26.67,741
26.82,744
26.96,744
27.11,743
27.26,744
27.4,744
27.55,746
27.7,746
27.84,748
27.99,752
28.14,752
28.28,752
28.43,754
28.58,757
28.72,758
28.87,760
29.02,761
29.16,760
29.31,759
29.46,758
29.6,759
29.75,759
29.9,759
30.04,759
30.19,759
30.34,759
30.48,759
30.63,759
30.78,760
30.92,759
31.07,759
31.22,760
31.36,760
31.51,760
31.66,760
31.8,760
31.95,760
32.1,760
32.24,760
32.39,764
32.54,766
32.68,770
32.83,769
32.98,766
33.12,765
33.27,766
33.42,766
33.56,771
33.71,773
33.86,773
34,774
34.15,774
34.3,774
34.44,775
34.59,775
34.74,775
34.88,774
35.03,773
35.18,774
35.32,774
35.47,775
35.62,775
35.76,775
35.91,776
36.06,776
36.2,775
36.35,775
36.5,775
36.64,775
36.79,775
36.94,775
37.08,775
37.23,775
37.38,775
37.52,775
37.67,775
37.82,776
37.96,775
38.11,775
38.26,775
38.4,775
38.55,773
38.7,774
38.84,773
38.99,774
39.14,774
39.28,774
39.43,774
39.58,774
39.72,774
39.87,774
40.02,774
40.16,774
40.31,768
40.46,769
40.6,769
40.75,768
40.9,768
41.04,773
41.19,767
41.34,767
41.49,767
41.63,768
41.78,769
41.92,769
42.07,768
42.22,767
42.36,772
42.51,773
42.66,774
42.81,775
42.95,775
43.1,775
43.25,775
43.39,775
43.54,774
43.68,774
43.83,775
43.98,775
44.13,775
44.27,775
44.42,775
44.56,775
44.71,775
44.86,775
45.01,775
45.15,776
45.3,776
45.45,777
45.59,776
45.74,776
45.88,776
46.03,776
46.18,776
46.33,776
46.47,777
46.62,776
46.77,776
46.91,776
47.06,776
47.21,777
47.35,776
47.5,777
47.65,777
47.79,777
47.94,777
48.09,776
48.23,777
48.38,776
48.53,776
48.67,776
48.82,777
48.97,777
49.11,776
49.26,777
49.4,776
49.55,776
49.7,776
49.85,777
49.99,777
50.14,776
50.29,777
50.43,776
50.58,776
50.72,777
50.87,776
51.02,776
51.17,777
51.31,776
51.46,776
51.61,776
51.75,776
51.9,776
52.04,776
52.19,776
52.34,776
52.49,775
52.63,776
52.78,776
52.93,776
53.07,776
53.22,776
53.37,776
53.51,776
53.66,776
53.81,776
53.95,776
54.1,776
54.25,776
54.39,776
54.54,776
54.69,776
54.83,776
54.98,776
55.13,776
55.27,776
55.42,777
55.57,776
55.71,776
55.86,777
56.01,776
56.15,776
56.3,776
56.45,776
56.59,776
56.74,776
56.89,776
57.03,776
57.18,776
57.33,775
57.47,776
57.62,775
57.77,776
57.91,776
58.06,776
58.21,775
58.35,775
58.5,775
58.65,776
58.79,776
58.94,775
59.09,775
59.23,775
59.38,775
59.53,774
59.67,774
59.82,774
59.97,774
60.11,774
60.26,774
60.41,774
60.55,774
60.7,774
60.85,774
60.99,773
61.14,773
61.29,773
61.43,773
61.58,773
61.73,773
61.87,773
62.02,773
62.17,773
62.31,773
62.46,773
62.61,773
62.75,773
62.9,773
63.05,773
63.19,773
63.34,773
63.49,773
63.63,773
63.78,773
63.93,773
64.07,772
64.22,772
64.37,772
64.51,772
64.66,772
64.81,772
64.95,772
65.1,759
65.25,759
65.39,759
65.54,759
65.69,756
65.83,757
65.98,757
66.13,757
66.27,757
