Time [s], liquid_level_reading
0,514
0,514
0,515
0,514
0,514
0,514
0,514
0,514
0,514
0,514
0.01,514
0.01,514
0.01,514
0.01,514
0.01,513
0.01,514
0.01,514
0.01,514
0.01,514
0.01,514
0.01,514
0.01,515
0.01,513
0.02,514
0.02,514
0.02,514
0.02,513
0.02,514
0.02,514
0.02,515
0.02,514
0.02,514
0.02,514
0.02,514
0.03,513
0.03,514
0.03,515
0.03,514
0.03,514
0.03,514
0.03,514
0.03,514
0.03,513
0.03,514
0.03,514
0.03,514
0.03,514
0.04,514
0.04,515
0.04,514
0.04,514
0.04,514
0.04,515
0.04,514
0.04,514
0.04,514
0.04,514
0.05,515
0.05,513
0.05,514
0.05,514
0.05,514
0.05,514
0.05,514
0.05,514
0.05,515
0.05,513
0.05,514
0.05,514
0.05,515
0.06,514
0.06,514
0.06,514
0.06,515
0.06,514
0.06,514
0.06,514
0.06,514
0.06,513
0.06,514
0.06,514
0.07,514
0.07,513
0.07,514
0.07,514
0.07,514
0.07,514
0.07,514
0.07,514
0.07,515
0.07,514
0.07,514
0.07,514
0.08,514
0.08,514
0.08,514
0.08,514
0.08,515
0.08,514
0.08,514
0.08,514
0.08,515
0.08,513
0.08,514
0.08,514
0.09,514
0.09,514
0.09,514
0.09,514
0.09,514
0.09,514
0.09,514
0.09,514
0.09,515
0.09,514
0.09,514
0.1,514
0.1,515
0.1,513
0.1,514
0.1,515
0.1,514
0.1,514
0.1,514
0.1,514
0.1,515
0.1,514
0.1,514
0.11,514
0.11,515
0.11,513
0.11,514
0.11,514
0.11,515
0.11,514
0.11,514
0.11,514
0.11,514
0.11,514
0.11,514
0.12,514
0.12,515
0.12,514
0.12,514
0.12,514
0.12,514
0.12,514
0.12,514
0.12,514
0.12,515
0.12,513
0.12,514
0.12,514
0.13,515
0.13,514
0.13,514
0.13,514
0.13,514
0.13,514
0.13,514
0.13,514
0.13,515
0.13,513
0.13,514
0.14,514
0.14,514
0.14,514
0.14,514
0.14,514
0.14,514
0.14,514
0.14,514
0.14,514
0.14,515
0.14,514
0.14,514
0.15,514
0.15,515
0.15,514
0.15,514
0.15,514
0.15,515
0.15,514
0.15,514
0.15,514
0.15,515
0.15,514
0.15,514
0.16,514
0.16,514
0.16,514
0.16,514
0.16,514
0.16,515
0.16,514
0.16,514
0.16,514
0.16,515
0.16,514
0.17,514
0.17,514
0.17,515
0.17,514
0.17,514
