Time [s], liquid_level_reading
0,513
0,513
0,513
0,513
56.45,778
56.59,778
56.74,778
56.89,778
57.03,778
57.18,778
57.33,778
57.47,778
57.62,777
57.77,777
57.91,777
58.06,777
58.21,777
58.35,776
58.5,777
58.65,777
58.79,777
58.94,778
59.09,777
59.23,778
59.38,778
59.53,778
59.67,778
59.82,778
59.97,778
60.11,777
60.26,778
60.41,778
60.55,777
60.7,778
60.85,777
60.99,777
61.14,777
61.29,777
61.43,777
61.58,777
61.73,777
61.87,777
62.02,776
62.17,776
62.31,775
62.46,775
62.61,774
62.75,774
62.9,775
63.05,775
63.19,775
63.34,776
63.49,776
63.63,776
63.78,776
63.93,776
64.07,776
64.22,775
64.37,775
64.51,774
64.66,772
64.81,770
64.95,768
65.1,766
65.25,766
65.39,766
65.54,765
65.69,765
65.83,765
65.98,763
66.13,761
66.27,759
66.42,759
66.57,758
66.71,758
66.86,759
67.01,758
67.15,758
67.3,758
67.45,757
67.59,757
67.74,757
67.89,757
68.03,756
68.18,756
68.33,756
68.47,755
68.62,755
68.77,755
68.91,754
69.06,754
69.21,754
69.36,753
69.5,753
69.65,753
69.79,752
69.94,753
70.09,752
70.23,751
70.38,749
70.53,749
70.68,749
70.82,749
70.97,749
71.11,749
71.26,749
71.41,749
71.55,748
71.7,744
71.85,745
72,744
72.14,744
72.29,744
72.43,744
72.58,744
72.73,744
72.88,744
73.02,744
73.17,744
73.31,744
73.46,744
73.61,744
73.75,744
73.9,744
74.05,743
74.19,743
74.34,743
74.49,743
74.64,742
74.78,741
74.93,741
75.07,741
75.22,741
75.37,741
75.51,741
75.66,740
75.81,741
75.96,741
76.1,741
76.25,740
76.39,741
76.54,740
76.69,741
76.83,741
76.98,741
77.13,741
77.28,741
77.42,741
77.57,741
77.72,741
77.86,741
78.01,741
78.15,741
78.3,741
78.45,740
78.6,740
78.74,740
78.89,741
79.04,740
79.18,740
79.33,741
79.48,740
79.62,740
79.77,740
79.92,740
80.06,740
80.21,740
80.36,740
80.5,740
80.65,740
80.8,740
80.94,740
81.09,740
81.24,740
81.38,740
81.53,740
81.68,740
81.82,739
81.97,740
82.12,740
82.26,740
82.41,740
82.56,740
82.7,740
82.85,740
83,740
83.14,740
83.29,740
83.44,740
83.58,740
83.73,739
83.88,740
84.02,740
84.17,740
84.32,740
84.46,740
84.61,740
84.76,740
84.9,740
85.05,740
85.2,740
85.34,740
85.49,740
85.64,740
85.78,740
85.93,740
86.08,740
86.22,740
86.37,740
86.52,740
86.66,740
86.81,740
86.96,740
87.1,740
87.25,740
87.4,740
87.54,740
87.69,740
87.84,740
87.98,740
88.13,740
88.28,740
88.42,740
88.57,740
88.72,740
88.86,740
89.01,739
89.16,740
89.3,739
89.45,739
89.6,739
89.74,740
89.89,739
90.04,739
90.18,739
90.33,739
90.48,739
90.62,739
90.77,739
90.92,740
91.06,740
91.21,740
91.36,740
91.5,740
91.65,740
91.8,740
91.94,739
92.09,739
92.24,739
92.38,738
92.53,739
92.68,739
92.82,739
92.97,739
93.12,739
93.26,739
93.41,739
93.56,739
93.7,739
93.85,739
94,739
94.14,738
94.29,738
94.44,738
94.58,738
94.73,738
94.88,738
95.02,738
95.17,738
95.32,738
95.46,738
95.61,738
95.76,738
95.9,738
96.05,738
96.2,738
96.34,738
96.49,739
96.64,739
96.79,738
96.93,738
97.08,738
97.22,738
97.37,738
97.52,738
97.66,739
97.81,738
97.96,738
98.11,738
98.25,738
98.4,738
98.54,738
98.69,738
98.84,738
98.98,738
99.13,738
99.28,739
99.43,739
99.57,739
99.72,739
99.86,738
100.01,738
100.17,738
100.33,739
100.49,739
100.65,738
100.81,738
100.97,738
101.13,738
101.29,738
101.45,738
101.61,738
101.77,738
101.93,738
102.09,738
102.25,738
102.41,738
102.57,738
102.73,738
102.89,738
103.05,738
103.21,738
103.37,738
103.53,738
103.69,739
103.85,739
104.01,738
104.17,738
104.33,738
104.49,738
104.65,738
104.81,738
104.97,738
105.13,738
105.29,738
105.45,738
105.61,738
105.77,738
105.93,738
106.09,738
106.25,738
106.41,737
106.57,738
106.73,738
106.89,738
107.05,737
107.21,737
107.37,737
107.53,737
107.69,737
107.85,737
108.01,737
108.17,737
108.33,737
108.49,737
108.65,737
108.81,737
108.97,737
109.13,737
109.29,737
109.45,737
109.61,737
109.77,736
109.93,737
110.09,737
110.25,737
110.41,737
110.57,737
110.73,737
110.89,737
111.05,737
111.21,737
111.37,737
111.53,737
111.69,737
111.85,737
112.01,736
112.17,736
112.33,736
112.49,736
112.65,736
112.81,736
112.97,736
113.13,736
113.29,736
113.45,736
113.61,736
113.77,736
113.93,736
114.09,736
114.25,736
114.41,736
114.57,736
114.73,736
114.89,736
115.05,736
115.21,736
115.37,736
115.53,736
115.69,736
115.85,736
116.01,735
116.17,736
116.33,735
116.49,736
116.65,736
116.81,735
116.97,736
117.13,736
117.29,736
117.45,735
117.61,736
117.77,735
117.93,736
118.09,736
118.25,736
118.41,735
118.57,736
118.73,735
118.89,735
119.05,735
119.21,735
119.37,735
119.53,735
119.69,735
119.86,735
120.01,735
120.17,735
120.33,735
120.5,735
120.65,735
120.81,735
120.97,736
121.13,735
121.29,735
121.45,736
121.61,735
121.77,735
121.93,735
122.09,735
122.25,735
122.41,735
122.57,735
122.73,735
122.89,735
123.05,735
123.21,735
123.37,735
123.54,735
123.69,735
123.85,735
124.01,735
124.18,735
124.33,735
124.49,735
124.65,734
124.81,734
124.97,734
125.13,734
125.29,734
125.45,733
125.61,734
125.77,733
125.93,734
126.09,734
126.25,733
126.41,734
126.57,734
126.73,733
126.9,734
127.05,734
127.21,735
127.37,718
127.54,721
127.69,720
127.86,720
128.02,719
128.18,720
128.34,721
128.5,721
128.66,720
128.82,720
128.98,719
129.13,719
129.3,719
129.46,720
129.62,719
129.77,720
129.94,720
130.1,720
130.26,719
130.41,719
130.58,719
130.74,718
130.9,715
131.06,716
131.22,715
131.38,716
131.54,712
131.7,712
131.86,712
132.02,712
132.18,711
132.34,711
132.5,711
132.66,708
132.82,708
132.98,708
133.14,707
133.3,706
133.46,705
133.62,705
133.78,706
133.94,705
134.1,705
134.26,705
134.42,705
134.58,705
134.74,704
134.9,705
135.06,705
135.22,705
135.38,704
135.54,704
135.7,704
135.86,704
136.02,704
136.18,704
136.34,704
136.5,704
136.66,704
136.82,704
136.98,704
137.14,704
137.3,704
137.46,704
137.62,704
137.78,704
137.94,704
138.1,705
138.26,705
138.42,705
138.58,706
138.74,705
138.9,705
139.06,705
139.22,705
139.38,705
139.54,705
139.7,705
139.86,705
140.02,705
140.18,705
140.34,705
140.5,705
140.66,705
140.82,705
140.98,705
141.14,705
141.3,705
141.46,704
141.62,704
141.78,705
141.94,705
142.1,704
142.26,703
142.42,705
142.58,705
142.74,705
142.9,705
143.06,705
143.22,705
143.38,704
143.54,704
143.7,704
143.86,705
144.02,705
144.18,705
144.34,705
144.5,704
144.66,703
144.82,703
144.98,703
145.14,703
145.3,703
145.46,703
145.62,703
145.78,703
145.94,704
146.1,704
146.26,704
146.42,703
146.58,703
146.74,703
146.9,703
147.06,703
147.22,703
147.38,703
147.54,703
147.7,703
147.86,704
148.02,704
148.18,704
148.34,703
148.5,703
148.66,703
148.82,702
148.98,703
149.14,703
149.3,703
149.46,702
149.62,702
149.78,702
149.94,702
150.1,702
150.26,702
150.42,702
150.58,703
150.74,704
150.9,704
151.06,704
151.22,702
151.38,704
151.54,705
151.7,705
151.86,705
152.02,704
152.18,704
152.34,704
152.5,704
152.66,703
152.82,703
152.98,703
153.14,704
153.3,704
153.46,704
153.62,703
153.78,703
153.94,702
154.1,701
154.26,701
154.42,701
154.58,701
154.74,701
154.9,701
155.06,701
155.22,701
155.38,702
155.54,702
155.7,701
155.86,701
156.02,703
156.18,703
156.34,703
156.5,702
156.66,702
156.82,703
156.98,702
157.14,701
157.3,700
157.46,700
157.62,700
157.78,700
157.94,700
158.1,700
158.26,700
158.42,700
158.58,700
158.74,699
158.9,700
159.06,699
159.22,699
159.38,699
159.54,699
159.7,699
159.86,699
160.02,699
160.18,699
160.34,699
160.5,699
160.66,699
160.82,698
160.98,699
161.14,698
161.3,698
161.46,699
161.62,698
161.78,698
161.94,698
162.1,698
162.26,698
162.42,698
162.58,698
162.74,698
162.9,697
163.06,697
163.22,696
163.38,696
163.54,696
163.7,697
163.86,697
164.02,697
164.18,697
164.34,697
164.5,697
164.66,697
164.82,697
164.98,697
165.14,697
165.3,696
165.46,696
165.62,697
165.78,697
165.94,696
166.1,696
166.26,694
166.42,690
166.58,690
166.74,689
166.9,689
167.06,689
167.22,690
167.38,690
167.54,690
167.7,690
167.86,690
168.02,690
168.18,689
168.34,689
168.5,689
168.66,689
168.82,689
168.98,689
169.14,689
169.3,689
169.46,689
169.62,690
169.78,690
169.94,689
170.1,689
170.26,689
170.42,689
170.58,689
170.74,689
170.9,689
171.06,689
171.22,689
171.38,689
171.54,689
171.7,689
171.86,689
172.02,689
172.18,689
172.34,689
172.5,690
172.66,690
172.82,690
172.98,690
173.14,689
173.3,689
173.46,689
173.62,689
173.78,689
173.94,689
174.1,690
174.26,689
174.42,690
174.58,689
174.74,690
174.9,689
175.06,689
175.22,689
175.38,689
175.54,689
175.7,689
175.86,690
176.02,689
176.18,689
176.34,689
176.5,689
176.66,689
176.82,689
176.98,689
177.14,689
177.3,689
177.46,689
177.62,689
177.78,689
177.94,689
178.1,689
178.26,689
178.42,689
178.58,689
178.74,689
178.9,688
179.06,687
179.22,687
179.38,687
179.54,686
179.7,686
179.86,686
180.02,686
180.18,686
180.34,684
180.5,684
180.66,684
180.82,684
180.98,684
181.14,684
181.3,684
181.46,684
181.62,684
181.78,683
181.94,683
182.1,683
182.26,684
182.42,683
182.58,683
182.74,684
182.9,683
183.06,684
183.22,684
183.38,683
183.54,683
183.7,683
183.86,683
184.02,682
184.18,682
184.34,682
184.5,682
184.66,682
184.82,682
184.98,682
185.14,682
185.3,682
185.46,680
185.62,679
185.78,679
185.94,678
186.1,679
186.26,678
186.42,678
186.58,678
186.74,678
186.9,678
187.06,678
187.22,678
187.38,677
187.54,677
187.7,677
187.86,677
188.02,677
188.18,677
188.34,677
188.5,677
188.66,677
188.82,677
188.98,677
189.14,677
189.3,676
189.46,676
189.62,676
189.78,675
189.94,676
190.1,675
190.26,675
190.42,676
190.58,675
190.74,675
190.9,675
191.06,675
