Time [s], liquid_level_reading
0,518
0,518
0,518
0,518
0.09,518
0.23,518
0.36,518
0.49,518
0.63,518
0.76,518
0.89,518
1.03,518
1.16,518
1.29,518
1.43,518
1.56,518
1.69,518
1.83,518
1.96,518
2.09,518
2.23,518
2.36,518
2.49,519
2.63,518
2.76,518
2.89,518
3.03,518
3.16,518
3.29,518
3.43,518
3.56,518
3.69,517
3.83,518
3.96,518
4.09,518
4.23,518
4.36,518
4.49,518
4.63,518
4.76,518
4.89,518
5.03,518
5.16,518
5.29,518
5.43,518
5.56,518
5.69,518
5.83,517
5.96,517
6.09,518
6.23,517
6.36,518
6.49,518
6.63,518
6.76,518
6.89,518
7.03,518
7.16,518
7.29,518
7.43,519
7.56,519
7.69,519
7.83,522
7.96,523
8.09,529
8.23,531
8.36,531
8.49,532
8.63,533
8.76,535
8.89,538
9.03,543
9.16,544
9.29,545
9.43,545
9.56,548
9.69,548
9.83,550
9.96,552
10.09,552
10.24,555
10.39,557
10.53,560
10.68,563
10.83,566
10.97,568
11.12,571
11.27,571
11.41,573
11.56,575
11.71,575
11.85,577
12,577
12.15,583
12.3,586
12.44,589
12.59,591
12.73,595
12.88,597
13.03,600
13.17,600
13.32,601
13.47,600
13.61,602
13.76,608
13.91,607
14.05,609
14.2,612
14.35,617
14.49,615
14.64,618
14.79,619
14.94,619
15.08,624
15.23,631
15.38,632
15.52,633
15.67,642
15.81,641
15.96,645
16.11,645
16.25,646
16.4,648
16.55,647
16.69,648
16.84,657
16.99,659
17.13,662
17.28,666
17.43,666
17.57,668
17.72,668
17.87,670
18.01,672
18.16,672
18.31,674
18.45,674
18.6,677
18.75,684
18.89,693
19.04,693
19.19,695
19.33,694
19.48,699
19.63,701
19.77,702
19.92,703
20.07,702
20.21,702
20.36,703
20.51,716
20.66,720
20.8,727
20.95,736
21.09,735
21.24,735
21.39,738
21.53,739
21.68,739
21.83,740
21.98,741
22.12,743
22.27,742
22.42,743
22.56,743
22.71,742
22.85,743
23,743
23.15,743
23.3,742
23.44,743
23.59,743
23.74,743
23.88,743
24.03,743
24.18,743
24.32,743
24.47,744
24.61,743
24.76,744
24.91,745
25.06,755
25.2,759
25.35,767
25.5,767
25.64,765
25.79,764
25.93,775
26.08,775
26.23,775
26.38,775
26.52,775
26.67,775
26.82,775
26.96,775
27.11,774
27.26,775
27.4,773
27.55,772
27.7,774
27.84,773
27.99,773
28.14,773
28.28,775
28.43,774
28.58,775
