Time [s], liquid_level_reading
0,517
0,517
0,517
0,517
0.06,517
0.14,518
0.22,518
0.31,517
0.39,517
0.47,517
0.56,517
0.64,517
0.72,517
0.81,518
0.89,518
0.97,517
1.06,518
1.14,517
1.22,517
1.31,517
1.39,518
1.47,517
1.56,518
1.64,518
1.73,517
1.81,518
1.89,516
1.98,521
2.06,531
2.14,532
2.23,539
2.31,546
2.39,555
2.48,565
2.56,566
2.64,569
2.72,575
2.81,581
2.89,591
2.97,597
3.06,603
3.14,608
3.23,618
3.31,623
3.39,629
3.48,634
3.56,637
3.64,639
3.73,643
3.81,656
3.89,666
3.98,667
4.06,672
4.14,676
4.23,681
4.31,684
4.39,685
4.48,688
4.56,688
4.64,690
4.73,698
4.81,698
4.89,699
4.98,703
5.06,734
5.14,735
5.23,736
5.31,733
5.39,736
5.48,739
5.56,737
5.64,739
5.73,738
5.81,742
5.89,740
5.98,740
6.06,741
6.14,743
6.23,745
6.31,748
6.39,750
6.48,752
6.56,753
6.64,763
6.73,764
6.81,764
6.89,764
6.98,763
7.06,764
7.14,774
7.23,773
7.31,773
7.39,774
7.48,772
7.56,766
7.64,773
7.73,771
7.81,768
7.89,768
7.98,773
8.06,772
8.14,772
8.23,774
8.31,774
8.39,770
8.48,770
8.56,767
8.64,766
8.73,763
8.81,772
8.89,771
8.98,772
9.06,775
9.14,776
9.23,776
9.31,777
9.39,776
9.48,776
9.56,775
9.64,775
9.73,774
9.81,774
9.89,771
9.98,769
10.06,771
10.15,771
10.24,771
10.34,772
10.43,772
10.52,771
10.61,771
10.7,771
10.79,771
10.89,770
10.98,771
11.07,772
11.16,771
11.25,772
11.34,772
11.44,772
11.53,772
11.62,771
11.71,772
11.8,772
11.89,772
11.98,772
12.08,772
12.17,772
12.26,772
12.35,772
12.44,772
12.53,772
12.63,772
12.72,772
12.81,772
12.9,772
12.99,772
13.09,773
13.18,772
13.27,772
13.36,773
13.45,772
13.54,773
13.64,773
13.73,773
13.82,773
13.91,773
14,773
14.09,773
14.19,773
14.28,773
14.37,773
14.46,773
14.55,773
14.64,773
14.74,773
14.83,773
14.92,773
15.01,773
15.1,773
15.19,773
15.29,773
15.38,773
15.47,773
15.56,773
15.65,773
15.74,773
15.84,773
15.93,773
16.02,773
16.11,773
16.2,773
16.29,773
16.39,772
16.48,773
16.57,773
16.66,773
16.75,773
16.84,773
16.93,773
17.03,773
17.12,773
17.21,773
17.3,773
17.39,773
17.49,772
17.58,773
17.67,774
17.76,774
17.85,774
17.94,775
18.04,774
18.13,775
18.22,774
18.31,774
18.4,775
18.5,774
18.59,775
18.68,775
18.77,774
18.86,774
18.95,775
19.04,775
19.14,775
19.23,775
19.32,775
19.41,774
19.5,774
19.59,775
19.69,774
19.78,775
19.87,775
19.96,775
20.05,775
20.14,774
20.24,775
20.33,775
20.42,775
20.51,775
20.6,774
20.69,774
20.79,774
20.88,774
20.97,774
21.06,773
21.15,773
21.25,773
21.34,772
21.43,773
21.52,772
21.61,772
21.7,772
21.79,772
21.89,771
21.98,771
22.07,771
22.16,771
22.25,771
22.34,771
22.44,771
22.53,771
22.62,771
22.71,771
22.8,771
22.89,771
22.99,771
23.08,771
