Time [s], liquid_level_reading
0,511
0,512
0,512
0,512
0.06,511
0.14,511
0.22,512
0.31,511
0.39,511
0.47,511
0.56,512
0.64,511
0.72,511
0.81,511
0.89,512
0.97,512
1.06,512
1.14,511
1.22,511
1.31,511
1.39,511
1.47,511
1.56,512
1.64,511
1.73,511
1.81,511
1.89,510
1.98,511
2.06,511
2.14,511
2.23,510
2.31,510
2.39,510
2.48,511
2.56,514
2.64,515
2.72,516
2.81,516
2.89,516
2.97,516
3.06,517
3.14,517
3.23,517
3.31,518
3.39,520
3.48,526
3.56,530
3.64,531
3.73,531
3.81,532
3.89,533
3.98,534
4.06,538
4.14,536
4.23,542
4.31,544
4.39,547
4.48,548
4.56,552
4.64,553
4.73,553
4.81,557
4.89,557
4.98,560
5.06,562
5.14,565
5.23,568
5.31,569
5.39,569
5.48,572
5.56,574
5.64,575
5.73,576
5.81,578
5.89,584
5.98,588
6.06,593
6.14,597
6.23,599
6.31,600
6.39,601
6.48,602
6.56,605
6.64,607
6.73,610
6.81,613
6.89,614
6.98,618
7.06,620
7.14,621
7.23,624
7.31,626
7.39,632
7.48,634
7.56,635
7.64,638
7.73,643
7.81,644
7.89,646
7.98,646
8.06,647
8.14,649
8.23,656
8.31,659
8.39,660
8.48,660
8.56,661
8.64,662
8.73,663
8.81,667
8.89,668
8.98,671
9.06,676
9.14,682
9.23,685
9.31,692
9.39,694
9.48,695
9.56,702
9.64,698
9.73,701
9.81,700
9.89,701
9.98,716
10.06,718
10.15,729
10.24,731
10.34,732
10.43,733
10.52,736
10.61,735
10.7,735
10.79,735
10.89,735
10.98,736
11.07,740
11.16,740
11.25,741
11.34,742
11.44,743
11.53,745
11.62,750
11.71,758
11.8,758
11.89,758
11.98,760
12.08,762
12.17,765
12.26,774
12.35,772
12.44,771
12.53,769
12.63,773
12.72,774
12.81,765
12.9,773
12.99,776
13.09,776
13.18,777
13.27,777
13.36,777
13.45,777
13.54,776
13.64,776
13.73,776
13.82,777
13.91,776
14,777
14.09,777
14.19,777
14.28,776
14.37,777
14.46,776
14.55,776
14.64,776
14.74,776
14.83,776
14.92,776
15.01,776
15.1,776
15.19,776
15.29,777
15.38,777
15.47,776
15.56,777
15.65,777
15.74,777
15.84,776
15.93,777
16.02,777
16.11,777
16.2,776
16.29,777
16.39,777
16.48,778
16.57,778
16.66,778
16.75,777
16.84,777
16.93,777
17.03,777
17.12,778
17.21,778
17.3,778
17.39,777
17.49,776
17.58,776
17.67,775
17.76,775
17.85,776
17.94,776
18.04,777
18.13,777
18.22,778
18.31,778
18.4,778
18.5,778
18.59,778
18.68,778
18.77,778
18.86,778
18.95,778
19.04,778
19.14,778
19.23,778
19.32,778
19.41,778
19.5,778
19.59,778
19.69,778
19.78,778
19.87,778
19.96,778
20.05,778
20.14,778
20.24,778
20.33,778
20.42,778
20.51,778
20.6,778
20.69,778
20.79,778
20.88,778
20.97,778
21.06,778
21.15,778
21.25,778
21.34,778
21.43,778
21.52,778
21.61,778
21.7,778
21.79,778
21.89,778
21.98,778
22.07,778
22.16,778
22.25,777
22.34,778
22.44,778
22.53,778
22.62,778
22.71,778
22.8,778
22.89,777
22.99,778
23.08,778
23.17,778
23.26,778
23.35,778
23.44,778
23.54,778
23.63,777
23.72,778
23.81,778
23.9,778
24,778
24.09,778
24.18,777
24.27,777
24.36,777
24.45,777
24.55,777
24.64,777
24.73,777
24.82,777
24.91,777
25,777
25.1,777
25.19,777
25.28,777
25.37,777
25.46,777
25.55,777
25.65,777
25.74,777
25.83,777
25.92,777
26.01,777
26.1,777
26.2,777
26.29,777
26.38,778
26.47,778
26.56,777
26.65,777
26.75,777
26.84,777
26.93,777
27.02,777
27.11,777
27.2,777
27.3,777
27.39,777
27.48,777
27.57,776
27.66,777
27.75,776
27.85,776
27.94,776
28.03,776
28.12,776
28.21,776
28.3,776
28.4,776
28.49,776
28.58,776
28.67,776
28.76,775
28.85,776
28.95,775
29.04,775
29.13,775
29.22,776
29.31,775
29.4,776
29.5,776
29.59,776
29.68,776
29.77,776
29.86,776
29.96,776
30.05,776
30.14,776
30.23,776
30.32,776
30.41,776
30.5,776
30.6,776
30.69,776
30.78,776
30.87,776
30.96,776
31.05,776
31.15,776
31.24,776
31.33,776
31.42,776
31.51,776
31.6,775
31.7,776
31.79,775
31.88,775
31.97,775
32.06,772
32.15,772
32.25,772
32.34,773
32.43,773
32.52,774
32.61,774
32.71,774
32.8,774
32.89,774
32.98,774
33.07,775
33.16,775
33.26,775
33.35,774
33.44,775
33.53,775
33.62,775
33.71,775
33.81,775
33.9,775
33.99,775
34.08,775
34.17,775
34.27,775
34.36,775
34.45,775
34.54,775
34.63,775
34.72,775
34.81,775
34.91,775
35,775
35.09,775
35.18,775
35.27,774
35.36,774
35.46,774
35.55,775
35.64,775
35.73,775
35.82,772
35.91,772
36.01,771
36.1,772
36.19,773
36.28,774
36.37,775
36.47,775
36.56,775
36.65,776
36.74,776
36.83,776
36.92,775
37.02,768
37.11,776
37.2,776
37.29,776
37.38,776
37.47,776
37.56,776
37.66,776
37.75,776
37.84,776
37.93,776
38.02,776
38.12,776
38.21,776
38.3,776
38.39,776
38.48,773
38.57,771
38.67,771
38.76,771
38.85,770
38.94,770
39.03,770
39.12,769
39.22,769
39.31,768
39.4,768
39.49,768
39.58,767
39.67,768
39.77,767
39.86,767
39.95,767
40.04,766
40.13,766
40.22,766
40.31,765
40.41,762
40.5,763
40.59,768
40.68,769
40.77,769
40.87,767
40.96,766
41.05,766
41.14,764
41.23,765
41.32,765
41.42,765
41.51,765
41.6,765
41.69,767
41.78,767
41.87,767
41.97,769
42.06,770
42.15,770
42.24,769
42.33,766
42.42,762
42.52,762
42.61,762
42.7,762
42.79,762
42.88,760
42.97,755
43.07,755
43.16,754
43.25,754
43.34,754
43.43,754
43.53,754
43.62,754
43.71,754
43.8,754
43.89,754
43.98,754
44.08,754
44.17,755
44.26,755
44.35,754
44.44,754
44.53,754
44.62,754
44.72,753
44.81,752
44.9,751
44.99,751
45.08,749
45.18,749
45.27,749
45.36,749
45.45,749
45.54,748
45.63,748
45.72,748
45.82,747
45.91,747
46,747
46.09,747
46.18,746
46.28,745
46.37,744
46.46,744
46.55,745
46.64,744
46.73,745
46.83,745
46.92,744
47.01,744
47.1,751
47.19,751
47.28,743
47.38,743
47.47,743
47.56,743
47.65,743
47.74,743
47.83,743
47.93,743
48.02,743
48.11,742
48.2,743
48.29,743
48.38,743
48.48,743
48.57,743
48.66,743
48.75,743
48.84,743
48.93,743
49.03,743
49.12,743
49.21,743
49.3,743
49.39,743
49.48,743
49.58,742
49.67,742
49.76,742
49.85,742
49.94,743
50.03,743
50.13,742
50.22,743
50.31,742
50.4,742
50.49,742
50.58,742
50.68,742
50.77,742
50.86,741
50.95,742
51.04,741
51.13,742
51.23,741
51.32,741
51.41,741
51.5,741
51.59,741
51.69,741
51.78,741
51.87,741
51.96,741
52.05,741
52.14,741
52.24,741
52.33,741
52.42,741
52.51,741
52.6,741
52.69,741
52.79,739
52.88,738
52.97,738
53.06,738
53.15,737
53.24,736
53.34,736
53.43,736
53.52,737
53.61,737
53.7,737
53.79,737
53.88,738
53.98,738
54.07,738
54.16,738
54.25,738
54.34,738
54.44,738
54.53,738
54.62,739
54.71,739
54.8,739
54.89,739
54.99,739
55.08,739
55.17,738
55.26,739
55.35,738
55.44,738
55.54,739
55.63,738
55.72,738
55.81,738
55.9,738
55.99,738
56.09,739
56.18,738
56.27,738
56.36,738
56.45,738
56.54,738
56.64,738
56.73,738
56.82,739
56.91,738
57,738
57.09,739
57.19,738
57.28,737
57.37,737
57.46,737
57.55,737
57.64,738
57.74,738
57.83,738
57.92,739
58.01,739
58.1,739
58.19,739
58.29,739
58.38,739
58.47,739
58.56,739
58.65,739
58.74,739
58.84,739
58.93,739
59.02,738
59.11,738
59.2,737
59.29,737
59.39,738
59.48,738
59.57,738
59.66,738
59.75,738
59.84,738
59.94,738
60.03,738
60.12,738
60.21,738
60.3,738
60.4,738
60.49,738
60.58,738
60.67,738
60.76,738
60.85,737
60.95,737
61.04,737
61.13,737
61.22,737
61.31,737
61.4,737
61.5,738
61.59,738
61.68,738
61.77,737
61.86,737
61.95,737
62.04,737
62.14,737
62.23,738
62.32,738
62.41,738
62.5,738
62.6,738
62.69,737
62.78,738
62.87,737
62.96,737
63.05,737
63.15,737
63.24,737
63.33,737
63.42,737
63.51,737
63.6,737
63.7,737
63.79,737
63.88,737
63.97,738
64.06,737
64.15,738
64.25,737
64.34,736
64.43,736
64.52,736
64.61,736
64.7,737
64.79,737
64.89,736
64.98,736
65.07,736
65.16,736
65.25,736
65.34,736
65.44,733
65.53,732
65.62,731
65.71,732
65.8,732
65.9,732
65.99,732
66.08,732
66.17,732
66.26,732
66.35,732
66.45,732
66.54,732
66.63,733
66.72,732
66.81,733
66.9,732
67,732
67.09,732
67.18,732
67.27,732
67.36,732
67.45,732
67.55,732
67.64,732
67.73,732
67.82,732
67.91,732
68,732
68.1,731
68.19,730
68.28,722
68.37,728
68.46,722
68.55,722
68.65,721
68.74,720
68.83,719
68.92,719
69.01,719
69.1,719
69.2,719
69.29,720
69.38,719
69.47,719
69.56,719
69.65,719
69.75,719
69.84,719
69.93,719
70.02,718
70.11,718
70.2,717
70.3,715
70.39,715
70.48,715
70.57,714
70.66,715
70.75,714
70.85,714
70.94,714
71.03,714
71.12,713
71.21,713
71.3,713
71.4,713
71.49,713
71.58,713
71.67,713
71.76,714
71.86,713
71.95,713
72.04,713
72.13,713
72.22,713
72.31,713
72.41,713
72.5,713
72.59,712
72.68,711
72.77,710
72.86,709
72.95,709
73.05,709
73.14,708
73.23,707
73.32,707
73.41,707
73.5,707
73.6,707
73.69,708
73.78,708
73.87,707
73.96,707
74.05,707
74.15,707
74.24,706
74.33,706
74.42,706
74.51,702
74.61,702
74.7,701
74.79,702
74.88,701
74.97,701
75.06,701
75.16,701
75.25,701
75.34,701
75.43,701
75.52,701
75.61,701
75.71,703
75.8,703
75.89,701
75.98,700
76.07,701
76.16,701
76.26,701
76.35,701
76.44,700
76.53,700
76.62,701
76.71,700
76.81,701
76.9,701
76.99,702
77.08,701
77.17,702
77.26,702
77.36,702
77.45,702
77.54,702
77.63,701
77.72,702
77.81,701
77.91,702
78,702
78.09,702
78.18,702
78.27,702
78.36,702
78.46,702
78.55,702
78.64,702
78.73,702
78.82,702
78.91,702
79.01,701
79.1,701
79.19,701
79.28,701
79.37,701
79.46,701
79.56,700
79.65,700
79.74,701
79.83,700
79.92,702
80.01,702
80.11,700
80.2,699
80.29,699
80.38,699
80.47,699
80.56,699
80.66,700
80.75,699
80.84,699
80.93,699
81.02,699
81.12,699
81.21,699
81.3,699
81.39,698
81.48,698
81.57,698
81.67,698
81.76,698
81.85,698
81.94,698
82.03,699
82.12,699
82.21,699
82.31,698
82.4,699
82.49,699
82.58,699
82.67,698
82.76,698
82.86,698
82.95,698
83.04,698
83.13,698
83.22,698
83.32,698
83.41,697
83.5,697
83.59,697
83.68,697
83.77,697
83.87,698
83.96,697
84.05,697
84.14,697
84.23,697
84.32,697
84.42,697
84.51,697
84.6,697
84.69,696
84.78,696
84.87,696
84.97,695
85.06,693
85.15,693
85.24,693
85.33,693
85.43,693
85.52,692
85.61,692
85.7,692
85.79,692
85.88,692
85.97,692
86.07,692
86.16,692
86.25,692
86.34,692
86.43,692
86.52,692
86.62,692
86.71,692
86.8,692
86.89,692
86.98,691
87.07,689
87.17,689
87.26,689
87.35,689
87.44,689
87.53,689
87.62,688
87.72,688
87.81,688
87.9,688
87.99,688
88.08,688
88.18,688
88.27,688
88.36,688
88.45,688
88.54,688
88.63,688
88.72,688
88.82,688
88.91,689
89,689
89.09,689
89.18,689
89.27,689
89.37,689
89.46,689
89.55,689
89.64,689
89.73,689
89.83,689
89.92,689
90.01,689
90.1,689
90.19,689
90.28,689
90.38,689
90.47,689
90.56,689
90.65,688
90.74,689
90.83,688
90.93,688
91.02,688
91.11,688
91.2,688
91.29,688
91.38,688
91.47,688
91.57,688
91.66,688
91.75,688
91.84,688
91.93,688
92.02,688
92.12,688
92.21,688
92.3,689
92.39,688
92.48,688
92.58,689
92.67,688
92.76,688
92.85,688
92.94,688
93.03,688
93.13,688
93.22,688
93.31,688
93.4,688
93.49,687
93.58,687
93.68,687
93.77,687
93.86,687
93.95,687
94.04,687
94.13,687
94.23,687
94.32,687
94.41,687
94.5,686
94.59,686
94.68,686
94.78,686
94.87,686
94.96,686
95.05,686
95.14,686
95.23,686
95.33,686
95.42,686
95.51,686
95.6,686
95.69,685
95.78,685
95.88,685
95.97,684
96.06,683
96.15,683
96.24,683
96.33,683
96.43,684
96.52,685
96.61,685
96.7,685
96.79,685
96.88,685
96.98,685
97.07,685
97.16,684
97.25,684
97.34,684
97.43,684
97.53,684
97.62,683
97.71,681
97.8,681
97.89,681
97.98,681
98.08,680
98.17,681
98.26,680
98.35,680
98.44,680
98.54,680
98.63,680
98.72,679
98.81,680
98.9,680
98.99,679
99.09,679
99.18,679
99.27,679
99.36,679
99.45,679
99.54,679
99.64,679
99.73,679
99.82,679
99.91,679
100,679
100.1,679
100.2,676
100.3,676
100.4,676
100.5,676
100.6,675
100.7,675
100.8,674
100.9,674
101,674
101.1,674
101.2,674
101.3,673
101.4,673
101.5,673
101.6,673
101.7,674
101.8,674
101.9,674
102,674
102.1,674
102.2,674
102.3,674
102.4,673
102.5,673
102.6,674
102.7,673
102.8,674
102.9,674
103,673
103.1,674
103.2,674
103.3,673
103.4,673
103.5,673
103.6,673
103.7,673
103.8,672
103.9,673
104,672
104.1,673
104.2,673
104.3,672
104.4,672
104.5,673
104.6,673
104.7,673
104.8,672
104.9,672
105,672
105.1,672
105.2,672
105.3,672
105.4,672
105.5,672
105.6,672
105.7,672
105.8,672
105.9,671
106,671
106.1,671
106.2,671
106.3,671
106.4,671
106.5,671
106.6,671
106.7,671
106.8,671
106.9,671
107,670
107.1,670
107.2,670
107.3,670
107.4,670
107.5,670
107.6,670
107.7,670
107.8,670
107.9,669
108,669
108.1,669
108.2,670
108.3,670
108.4,671
108.5,672
108.6,672
108.7,672
108.8,672
108.9,668
109,668
109.11,670
109.2,673
109.3,674
109.4,675
109.5,674
109.6,673
109.7,675
109.8,675
109.9,675
110,675
110.1,675
110.2,675
110.3,675
110.4,676
110.5,675
110.61,676
110.7,676
110.8,676
110.9,676
111,676
111.11,677
111.2,676
111.3,677
111.4,677
111.5,677
111.61,677
111.7,677
111.8,677
111.9,677
112,677
112.11,678
112.2,678
112.3,678
112.4,678
112.5,677
112.61,677
112.7,678
112.8,677
112.9,677
113,677
113.11,676
113.2,675
113.3,676
113.4,676
113.5,676
113.61,676
113.7,675
113.8,675
113.9,674
114.01,674
114.11,674
114.2,673
114.31,672
114.4,671
114.5,670
114.61,669
114.7,670
114.8,670
114.91,670
115,670
115.11,670
115.21,670
115.31,669
115.4,669
115.51,669
115.61,669
115.7,669
115.81,669
115.91,669
116,669
116.11,669
116.21,669
116.3,669
116.41,669
116.51,669
116.61,669
116.71,669
116.81,668
116.9,667
117.01,667
117.11,667
117.21,667
117.31,667
117.41,667
117.51,667
117.61,667
117.71,667
117.81,667
117.91,667
118.01,667
118.11,667
118.21,667
118.31,667
118.41,667
118.51,667
118.61,667
118.71,667
118.81,667
118.91,667
119.01,667
119.11,667
119.21,667
119.31,667
119.41,667
119.51,667
119.61,667
119.71,667
119.81,667
119.91,667
120.01,667
120.11,667
120.21,667
120.31,667
120.41,667
120.51,667
120.61,667
120.71,667
120.81,667
120.91,667
121.01,667
121.11,667
121.21,667
121.31,667
121.41,667
121.51,667
121.61,667
121.71,666
121.81,666
121.91,666
122.01,666
122.11,665
122.21,666
122.31,666
122.41,666
122.51,666
122.61,666
122.71,666
122.81,666
122.91,665
123.01,665
123.11,665
123.21,665
123.31,665
123.41,665
123.51,665
123.61,665
123.71,665
123.81,665
123.91,665
124.01,665
124.11,665
124.21,665
124.31,665
124.41,665
124.51,665
124.61,663
124.71,661
124.81,661
124.91,661
125.01,661
125.11,661
125.21,661
125.31,660
125.41,660
125.51,660
125.61,660
125.71,659
125.81,657
125.91,658
126.01,660
126.11,660
126.21,661
126.31,661
126.41,661
126.51,660
126.61,656
126.71,655
126.81,655
126.91,655
127.01,655
127.11,655
127.21,655
127.31,655
127.41,655
127.51,655
127.61,655
127.71,655
127.81,655
127.91,655
128.01,655
128.11,655
128.21,655
128.31,655
128.41,655
128.51,656
128.61,656
128.71,656
128.81,655
128.91,655
129.01,654
129.11,655
129.21,654
129.31,654
129.41,655
129.51,655
129.61,654
129.71,654
129.81,653
129.91,653
130.01,653
130.11,653
130.21,652
130.31,648
130.41,661
130.51,650
130.61,655
130.71,659
130.81,661
130.91,663
131.01,664
131.11,665
131.21,667
131.31,667
131.41,667
131.51,667
131.61,668
131.71,669
131.81,670
131.91,670
132.01,670
132.11,670
132.21,671
132.31,671
132.41,672
132.51,671
132.61,672
132.71,672
132.81,673
132.91,673
133.01,673
133.11,673
133.21,673
133.31,673
133.41,674
133.51,673
133.61,674
133.71,674
133.81,674
133.91,674
134.01,674
134.11,674
134.21,675
134.31,675
134.41,675
134.51,675
134.61,675
134.71,675
134.81,675
134.91,675
135.01,676
135.11,675
135.21,675
135.31,675
135.41,675
135.51,675
135.61,676
135.71,676
135.81,675
135.91,674
136.01,674
136.11,674
136.21,675
136.31,674
136.41,674
136.51,675
136.61,674
136.71,674
136.81,675
136.91,674
137.01,674
137.11,675
137.21,674
137.31,674
137.41,675
137.51,675
137.61,675
137.71,676
137.81,675
137.91,675
138.01,675
138.11,674
138.21,674
138.31,674
138.41,674
138.51,674
138.61,674
138.71,674
138.81,674
138.91,675
139.01,674
139.11,673
139.21,673
139.31,673
139.41,673
139.51,673
139.61,673
139.71,673
139.81,673
139.91,673
140.01,673
140.11,673
140.21,673
140.31,673
140.41,673
140.51,672
140.61,673
140.71,672
140.81,674
140.91,675
141.01,674
141.11,675
141.21,674
141.31,674
141.41,674
141.51,674
141.61,674
141.71,673
141.81,673
141.91,673
142.01,673
142.11,673
142.21,673
142.31,673
142.41,673
142.51,672
142.61,672
142.71,672
142.81,672
142.91,672
143.01,671
143.11,671
143.21,671
143.31,671
143.41,671
143.51,671
143.61,671
143.71,671
143.81,670
143.91,670
144.01,670
144.11,669
144.21,669
144.31,669
144.41,669
144.51,668
144.61,668
144.71,668
144.81,667
144.91,667
145.01,667
145.11,667
145.21,666
145.31,666
145.41,666
145.51,665
145.61,665
145.71,664
145.81,664
145.91,664
146.01,664
146.11,664
146.21,663
146.31,663
146.41,662
146.51,662
146.61,662
146.71,661
146.81,661
146.91,661
147.01,660
147.11,660
147.21,660
147.31,660
147.41,659
147.51,658
147.61,657
147.71,656
147.81,655
147.91,655
148.01,653
148.11,653
148.21,652
148.31,651
148.41,649
148.51,637
148.61,637
148.71,637
